hombre detenido en noviembre de 1975 | affected by | dina
mario morris barrios | was present at | caleta de pisagua
jose humberto lizardi flores | was present at | caleta de pisagua
jose rufino cordova croxatto | was present at | caleta de pisagua
freddy taberna gallegos | was present at | caleta de pisagua
jose demostenes rosier sampson ocaranza | was present at | caleta de pisagua
rodolfo jacinto fuenzalida fernandez | was present at | caleta de pisagua
agusto german elidio palominos lamas | was present at | caleta de pisagua
conrado garcia | was present at | regimiento de telecomunicaciones
carlos herrera | was present at | regimiento de telecomunicaciones
michel selim nash saez | was present at | pisagua
jorge rogelio marin rossel | was present at | regimiento de telecomunicaciones
williams millar sanhueza | was present at | regimiento de telecomunicaciones
manuel araya zavala | was present at | regimiento rancagua
pedro prado ortiz | was present at | regimiento militar
pedro prado ortiz | was present at | la chancheria
pedro prado ortiz | was present at | avenida luis emilio recabarren
jorge rogelio marin rossel | was present at | la chancheria
william robert millar sanhueza | was present at | la chancheria
gabriel gonzalez videla | was present at | ex carcel publica
carlos ibanez del campo | was present at | ex carcel publica
gabriel gonzalez videla | was present at | mercado
carlos ibanez del campo | was present at | mercado
gabriel gonzalez videla | was present at | teatro municipal
carlos ibanez del campo | was present at | teatro municipal
gabriel gonzalez videla | was present at | multicancha deportiva
carlos ibanez del campo | was present at | multicancha deportiva
gabriel gonzalez videla | was present at | campamento de prisioneros
carlos ibanez del campo | was present at | campamento de prisioneros
gabriel gonzalez videla | was present at | fosa
carlos ibanez del campo | was present at | fosa
nelson bravo ramirez | was present at | regimiento de telecomunicaciones
nelson bravo ramirez | was present at | supermercado
nelson bravo ramirez | was present at | hotel de pisagua
luis emilio morales marino | was present at | cooperativa de consumo norte grande limitada coopenor
luis emilio morales marino | was present at | cuartel general de la sexta division del ejercito
luis emilio morales marino | was present at | caleta de pisagua
luis emilio recabarren | was present at | calle angamos
hugo grober venegas islas | was present at | calle angamos
luis angel medina henriquez | was present at | valle de azapa
julio cesar cabezas gacitua | was present at | iquique
mario morris barrios | was present at | iquique
juan valencia hinojosa | was present at | iquique
jose r. cordova croxato | was present at | iquique
jose humberto lizardi flores | was present at | iquique
isaias higueras zuniga | was present at | pisagua
nelson marquez agusto | was present at | pisagua
tomas orlando cabello cabello | was present at | pisagua
nicolas chanez chanez | was present at | pisagua
juan apolinario mamani garcia | was present at | pisagua
luis anibal manriquez wilden | was present at | pisagua
hugo tomas martinez guillen | was present at | pisagua
juan orlando rojas osega | was present at | pisagua
michel selim nash saez | was present at | iquique
juan efrain calderon villalon | was present at | iquique
juan jimenez vidal | was present at | iquique
julio cesar cabezas gacitua | was present at | iquique
jose r. cordova croxato | was present at | iquique
juan valencia hinojosa | was present at | iquique
mario morris barrios | was present at | iquique
jose humberto lizardi flores | was present at | iquique
freddy taberna gallegos | was present at | iquique
jose demostenes rosier sampson ocaranza | was present at | iquique
juan antonio ruz diaz | was present at | iquique
rodolfo jacinto fuenzalida fernandez | was present at | iquique
agusto german elidio palominos lamas | was present at | iquique
gerardo poblete | was present at | la comisaria de carabineros de iquique
juan antonio ruz diaz | was present at | regimiento de telecomunicaciones
jose demostenes rosier sampson ocaranza | was present at | la comisaria de carabineros de iquique
freddy taberna gallegos | was present at | la comisaria de carabineros de iquique
agusto german elidio palominos lamas | was present at | pisagua
unspecified nun | was present at | avenida santa maria
german unspecified | was present at | industria abandonada frente a la ex citroen
henry torres flores | was present at | calama
marcelino lamas largo | was present at | iquique
pedro prado ortiz | was present at | cementerio 3
jorge rogelio marin rossel | was present at | cementerio 3
william robert millar sanhueza | was present at | cementerio 3
jorge rogelio marin rossel | was present at | empresa portuaria de chile
william robert millar sanhueza | was present at | ferrocarriles del estado de iquique
jorge rogelio marin rossel | was present at | regimiento de telecomunicaciones de iquique
jorge rogelio marin rossel | was present at | alto hospicio
nelson jose marquez | was present at | batallon logistico n° 6 pisagua
atiliano hernandez | was present at | comisaria de carabineros no 3 de arica
luis pino soto | was present at | comisaria
luis pino soto | was present at | calle azola
pilo durana | was present at | arica
luis cruz martinez | was present at | carcel buen pastor de iquique
patricio lynch | was present at | carcel publica de arica
blas barraza quinteros | was present at | iquique
froilan moncada saez | was present at | iquique
juan antonio munoz munoz | was present at | iquique
luis alberto lizardi lizardi | was present at | avenida thompson
marcelo omar guzman fuentes | was present at | avenida thompson
gerardo poblete | was present at | comisaria
blas espinoza barraza | was present at | punta peuco
froilan moncada saez | was present at | centro penitenciario de alto hospicio
enzo meniconi lorca | was present at | prefectura de carabineros
salvador cautivo ahumada | was present at | arica
hugo grober venegas islas | was present at | valle de azapa
hugo grober venegas islas | was present at | avenida diego portales
hugo grober venegas islas | was present at | cuartel de la policia de investigaciones
jose luis catalan reyes | was present at | valle de azapa
jose lautaro vignolo quezada | was present at | azapa
rodrigo olavarria | was present at | avda diego portales
patricio padilla villen | was present at | arica
jose luis catalan reyes | was present at | arica
jose lautaro vignolo quezada | was present at | arica
grober venegas isla | was present at | cire
grober venegas isla | was present at | valle de azapa
unspecified militar | chief | fiscalia militar de osorno
unspecified soldado | member | comisaria de curanilahue
luis alberto lizardi lizardi | affected by | ley de fuga
marcelo omar guzman fuentes | affected by | ley de fuga
nolberto jesus canas | affected by | ley de fuga
michel selim nash saez | affected by | ley de fuga
juan efrain calderon villalon | affected by | ley de fuga
juan jimenez vidal | affected by | ley de fuga
julio cesar cabezas gacitua | affected by | consejos de guerra
juan valencia hinojosa | affected by | mir
mario morris barrios | affected by | mir
freddy taberna gallegos | affected by | consejos de guerra
jose demostenes rosier sampson ocaranza | affected by | consejos de guerra
unspecified organismos de seguridad | affected by | carabineros
unspecified organismos de seguridad | affected by | dina
unspecified agente | affected by | cni
unspecified medico | other | cni
unspecified hombre | affected by | carabineros de chile
comandante del regimiento talca | chief | regimiento talca
gabriel gonzalez videla | chief | ministerio de educacion
carlos ibanez del campo | member | consejo de monumentos nacionales
unspecified dina | affected by | dina
unspecified corvi | other | dina
unspecified tejas verdes | affected by | dina
luis pino soto | affected by | armagedon
unspecified detenido | affected by | comision
luis pino soto | affected by | cordones industriales
ramon larrain | affected by | comision de verdad y reconciliacion
juan alarcon | affected by | comision de verdad y reconciliacion
nolberto jesus canas | affected by | comision de verdad y reconciliacion
marcelo omar guzman fuentes | affected by | comision de verdad y reconciliacion
michel selim nash saez | affected by | comision de verdad y reconciliacion
luis alberto lizardi lizardi | affected by | comision de verdad y reconciliacion
juan jimenez vidal | affected by | comision de verdad y reconciliacion
jose rufino cordova croxatto | affected by | comision de verdad y reconciliacion
jose humberto lizardi flores | affected by | comision de verdad y reconciliacion
mario morris barrios | affected by | comision de verdad y reconciliacion
julio cesar cabezas gacitua | affected by | comision de verdad y reconciliacion
juan valencia hinojosa | affected by | comision de verdad y reconciliacion
carlos forestier haensen | chief | comision de verdad y reconciliacion
mario acuna | other | comision de verdad y reconciliacion
german hermosilla | other | comision de verdad y reconciliacion
augusto pinochet ugarte | chief | comision de verdad y reconciliacion
ricardo izurieta | chief | comision de verdad y reconciliacion
jorge navarrete | member | radio pisagua
jorge navarrete | member | fuerzas armadas y carabineros
juana torres | chief | corporacion de ex presos politicos de pisagua
claudio nash | chief | corporacion de ex presos politicos de pisagua
luis pino soto | affected by | carcel publica de iquique
luis pino soto | other | cni
augusto unspecified | affected by | dina
unspecified organismos de seguridad | member | cruz roja internacional
manuel eduardo sanhueza mellado | affected by | muerto en tortura
marcelino lamas largo | affected by | ejecutado
unspecified hombre | affected by | medical treatment
unspecified hombre | affected by | medical treatment
yasna provoste campillay | cause of | declaration
yasna provoste campillay | cause of | declaration
yasna provoste campillay | cause of | declaration
anyelina rojas valdes | affected by | use
unspecified detenido | affected by | detenido en septiembre de 1973
unspecified detenido | affected by | detenido en octubre de 1973
unspecified detenido | affected by | detenido en octubre de 1973
michel selim nash saez | affected by | execution
unspecified organismos de seguridad | affected by | detencion
unspecified agente | affected by | detenido en octubre de 1985
unspecified medico | cause of | detenido en octubre de 1985
unspecified hombre | affected by | arrest
unspecified mujer | affected by | arrest
unspecified hombre | affected by | arrest
unspecified hombre | affected by | arrest
comandante del regimiento talca | affected by | detention
hombre detenido en noviembre de 1975 | affected by | detention
hombre detenido en septiembre de 1973 | affected by | detention
unspecified mujer | affected by | torture
unspecified mujer | affected by | imprisonment
unspecified hombre | cause of | torture
unspecified dina | affected by | detention
unspecified corvi | affected by | detention
unspecified tejas verdes | affected by | detention
unspecified detenido | affected by | arrest
ramon larrain | cause of | execution of prisoners
juan alarcon | affected by | execution of prisoners
nolberto jesus canas | affected by | execution of prisoners
marcelo omar guzman fuentes | affected by | execution of prisoners
michel selim nash saez | affected by | execution of prisoners
luis alberto lizardi lizardi | affected by | execution of prisoners
juan jimenez vidal | affected by | execution of prisoners
jose rufino cordova croxatto | affected by | fusillade of detainees
jose humberto lizardi flores | affected by | fusillade of detainees
mario morris barrios | affected by | fusillade of detainees
julio cesar cabezas gacitua | affected by | fusillade of detainees
juan valencia hinojosa | affected by | fusillade of detainees
carlos forestier haensen | cause of | execution of prisoners
mario acuna | affected by | fusillade of detainees
jorge navarrete | affected by | detention
luis pino soto | affected by | detenciones
grober venegas isla | was present at | mercado
grober venegas isla | was present at | teatro municipal
grober venegas isla | was present at | ex-carcel publica
salvador cautivo ahumada | was present at | cuartel de investigaciones iquique
nolberto canas canas | was present at | pisagua
michel salim nash saez | was present at | pisagua
hugo grober venegas islas | was present at | alto ramirez
jose luis catalan reyes | was present at | cire
jose lautaro vignolo quezada | was present at | cire
patricio padilla villen | was present at | cire
hugo grober venegas islas | was present at | rotonda camino azapa
manuel eduardo sanhueza mellado | was present at | pisagua
nelson munoz morales | was present at | pisagua
hernan sanchez marre | was present at | pisagua
monica olivares | was present at | tarapaca
adil brkovic | was present at | iquique
luis rojas valenzuela | was present at | iquique
unspecified hombre | was present at | londres 38
unspecified hombre | was present at | valdivia
augusto pinochet ugarte | was present at | pisagua
yasna provoste campillay | was present at | pisagua
rodrigo gonzalez lopez | was present at | huara
unspecified organismos de seguridad | was present at | osorno
unspecified detenido | was present at | linares
unspecified soldado | was present at | curanilahue
unspecified organismos de seguridad | was present at | carabineros
unspecified organismos de seguridad | was present at | talca
unspecified organismos de seguridad | was present at | villa grimaldi
unspecified agente | was present at | santiago
unspecified medico | was present at | las salinas
unspecified hombre | was present at | calama
unspecified mujer | was present at | villa grimaldi
unspecified hombre | was present at | puerto aysen
unspecified hombre | was present at | punta arenas
comandante del regimiento talca | was present at | regimiento talca
hombre detenido en noviembre de 1975 | was present at | villa grimaldi
gabriel gonzalez videla | was present at | puerto de pisagua
carlos ibanez del campo | was present at | puerto de pisagua
gabriel gonzalez videla | was present at | ex carcel publica
carlos ibanez del campo | was present at | ex carcel publica
gabriel gonzalez videla | was present at | escuela
carlos ibanez del campo | was present at | escuela
gabriel gonzalez videla | was present at | multicancha deportiva
carlos ibanez del campo | was present at | multicancha deportiva
gabriel gonzalez videla | was present at | fosa
carlos ibanez del campo | was present at | fosa
unspecified mujer | was present at | estadio nacional
unspecified mujer | was present at | regimiento arica
unspecified hombre | was present at | recinto de la dina de la ex iglesia divina providencia
unspecified dina | was present at | cuartel de la dina
unspecified corvi | was present at | casas corvi
unspecified tejas verdes | was present at | regimiento de ingenieros de tejas verdes
luis pino soto | was present at | arica
pilo durana | was present at | pisagua
unspecified detenido | was present at | cuartel borgono
luis pino soto | was present at | carcel de arica
pilo durana | was present at | diego portales
ramon larrain | was present at | pisagua
jose rufino cordova croxatto | was present at | pisagua
jose humberto lizardi flores | was present at | pisagua
mario morris barrios | was present at | pisagua
julio cesar cabezas gacitua | was present at | pisagua
juan valencia hinojosa | was present at | pisagua
mario acuna | was present at | iquique
jorge navarrete | was present at | pisagua
juana torres | was present at | pisagua
claudio nash | was present at | pisagua
luis pino soto | was present at | cuartel de investigaciones
luis pino soto | was present at | calle diego portales s/n
augusto unspecified | was present at | chacabuco
unspecified organismos de seguridad | was present at | villa grimaldi
unspecified organismos de seguridad | was present at | la providencia
unspecified organismos de seguridad | was present at | collipulli
unspecified organismos de seguridad | was present at | valparaiso
unspecified organismos de seguridad | was present at | villa grimaldi
arrest | occurs at | cuartel borgono
execution of prisoners | occurs at | pisagua
fusillade of detainees | occurs at | pisagua
unlawful burial of peasants | occurs at | futrono
detention | occurs at | pisagua
visit to pisagua | occurs at | pisagua
detenciones | occurs at | carcel publica de iquique
detenciones | occurs at | carcel publica de iquique
dina | cause of | arrest
regimiento talca | cause of | detention
dina | affected by | detention
ministerio de educacion | cause of | declaration
consejo de monumentos nacionales | affected by | declaration
municipalidad de huara | unspecified | declaration
consejo de monumentos nacionales | unspecified | discovery of bodies in pit
dina | cause of | torture
dina | affected by | torture
cruz roja internacional | cause of | detention
dina | affected by | detention
armagedon | cause of | attack at iglesia del carmen
revista analisis | affected by | execution of prisoners
iglesia de valdivia | affected by | unlawful burial of peasants
ejercito | affected by | culmination of investigations
cuerpo de generales | affected by | culmination of investigations
fuerzas armadas | cause of | detention
carabineros | cause of | detention
fuerzas armadas y carabineros | unspecified | detention
radio pisagua | unspecified | detention
las noches fantasticas de lalo cabrera | unspecified | detention
corporacion de ex presos politicos de pisagua | affected by | visit to pisagua
carcel publica de iquique | cause of | detenciones
cni | affected by | detenciones
cni | affected by | detenciones
comision nacional sobre prision politica y tortura | unspecified | detenciones
